No.,Object name,Material,Stained,Surface properties
669,mushroom,plastic,pluriform,shiny
670,stone flower,stone,uniform,
671,wooden egg,wood,pluriform,
672,white ball,stone,uniform,shiny
673,trophy,"stone, metal",pluriform,"shiny, composite"
674,big pink eared animal,rubber,pluriform,shiny
675,garfield,plastic,pluriform,
676,van basten,plastic,pluriform,shiny
677,blue chopper,plastic,pluriform,shiny
678,purple flying dragon,plastic,pluriform,shiny
679,green frog,plastic,pluriform,
680,white hook,plastic,uniform,shiny
681,shower cream,plastic,pluriform,shiny
682,white office object,plastic,uniform,shiny
683,picking blue parrot,plastic,pluriform,shiny
684,open black box,"metal, plastic",pluriform,"shiny, composite"
685,green stick,plastic,pluriform,shiny
686,green bird,plastic,pluriform,shiny
687,baseball,cloth,pluriform,
688,calex light bulb,paper,pluriform,shiny
689,growling dog,plastic,pluriform,
690,pink sticks in box,plastic,pluriform,shiny
691,"red, plastic bear",plastic,pluriform,
692,pink bird,plastic,pluriform,
693,wooden sticks,wood,uniform,
694,white reflecting light,glass,uniform,shiny
695,orange dog,plastic,pluriform,
696,green fish,"paper, plastic",pluriform,composite
697,boat,plastic,pluriform,
698,children on bike,plastic,pluriform,shiny
699,key hanger,"cloth, metal",pluriform,"shiny, composite"
700,daffy duck,plastic,pluriform,shiny
701,white alarm,plastic,pluriform,shiny
702,orange toy,plastic,pluriform,shiny
703,snorkel toy,plastic,pluriform,
704,yellow/white airplane,plastic,pluriform,
705,green capsicum,fruit,uniform,"composite, shiny"
706,red capsicum,fruit,uniform,"composite, shiny"
707,mango,fruit,pluriform,
708,kiwi,fruit,uniform,
709,big mushroom,vegetable,uniform,
710,apple,fruit,pluriform,
711,small mushroom,vegetable,uniform,
712,mandarin,fruit,pluriform,shiny
713,lemon,fruit,uniform,shiny
714,onion,vegetable,pluriform,shiny
715,Unknown fruit,Fruit,Pluriform,Shiny
716,Unknown fruit 2,Fruit,Uniform,"Coarse, rough"
717,small onion,vegetable,pluriform,shiny
718,garlic,vegetable,uniform,
719,tomato,vegetable,uniform,shiny
720,red onion,vegetable,uniform,shiny
721,pear,fruit,pluriform,shiny
722,lemon,fruit,uniform,shiny
723,flat french bean,vegetable,uniform,
724,french bean,vegetable,uniform,
725,purple rhinoceros,plastic,pluriform,
726,wooden clogs,"wood, cloth",pluriform,
727,brown toy doll,plastic,pluriform,shiny
728,orange rhinoceros,plastic,pluriform,shiny
729,jojo,"plastic, rope",pluriform,"shiny, composite"
730,jojo box,paper,pluriform,
731,orange/white fish,plastic,pluriform,
732,blue/white rabbit,pottery,pluriform,shiny
733,Old-fashioned cosmetics,Plastic,Pluriform,Shiny
734,Small statue,"Metal, stone",Uniform,shiny
735,Lady bird on stone,stone,pluriform,Shiny
736,Travelling dog,plastic,pluriform,
737,Pocket knife,metal,pluriform,shiny
738,Light yellow flower,flower,pluriform,
739,Yellow flower,flower,pluriform,
740,Old timer candy,paper,pluriform,
741,Color markers,plastic,pluriform,
742,Red reflecting light,plastic,uniform,shiny
743,Box of small patches,plastic,pluriform,shiny
744,UvA cup,plastic,pluriform,shiny
745,Green plastic tree,plastic,uniform,shiny
746,Small light bulbs,"paper, plastic, metal",pluriform,"shiny, composite"
747,Orange box,Paper,Uniform,
748,Small pot,Pottery,Pluriform,
749,Small pot 2,Pottery,Pluriform,
750,Small pot 3,Pottery,Pluriform,
751,Cloth box,Cloth,Pluriform,
752,Teddy bear,Cloth,Uniform,Rough
753,ICCV mug,Pottery,Pluriform,Shiny
754,Herb box,"Glass, herbs",Pluriform,"Composite, shiny"
755,Bread ingredients,Paper,Pluriform,
756,white blue salt box,Plastic,Pluriform,shiny
757,purple book Koenderink,paper,pluriform,
758,wooden thing,wood,pluriform,coarse
759,round basket,wood,uniform,ribbed
760,Zwitsal bottle,plastic,pluriform,shiny
761,brown/white spray,"metal, plastic",pluriform,smooth
762,bottle oil,"plastic, paper",pluriform,shiny
763,hot chocholate cup,pottery,pluriform,shiny
764,yellow square toy,plastic,pluriform,shiny
765,colored playball,cloth,pluriform,
766,colored toy box,cloth,pluriform,
767,brown/white dog,"cloth, plastic",pluriform,composite
768,book,paper,pluriform,
769,colored toy bell,wood,pluriform,
770,long amsterdam box,paper,pluriform,
771,poffertjes box,paper,pluriform,
772,pannekoeken box,paper,pluriform,
773,van gogh box,metal,pluriform,shiny
774,cappuccino cup,pottery,pluriform,"shiny, smooth"
775,yellow toy box,plastic,pluriform,shiny
776,colored clown doll,cloth,pluriform,
777,baby butterfly,cloth,pluriform,
778,electronics,"metal, plastic",pluriform,
779,koala beer,"cloth, plastic",pluriform,
780,square basket,wood,uniform,
781,dryed flowers in basket,"wood, flower",pluriform,
782,styling gel,"plastic, paper",pluriform,shiny
783,bambix box,paper,pluriform,
784,orange species bag,paper,pluriform,shiny
785,Denne appel,wood,uniform,rough
786,vase,pottery,uniform,smooth
787,porseline egg,pottery,uniform,shiny
788,pen,"metal, plastic",uniform,shiny
789,tin can,metal,uniform,shiny
790,pepper mill,"wood, metal",uniform,"shiny, composite"
791,glass candle holder,glass,uniform,"rough, shiny"
792,glass jar,glass,pluriform,shiny
793,wooden square toy,wood,pluriform,
794,yellow cup,pottery,uniform,shiny
795,road cup 1,pottery,pluriform,shiny
796,road cup 2,pottery,pluriform,shiny
797,fish cup,plastic,uniform,ribbed
798,isostar bottle,"plastic, paper",pluriform,"shiny, composite"
799,multo book,"plastic, paper",pluriform,"shiny, composite"
800,tea can,metal,pluriform,shiny
801,sandwich in plastic,plastic,pluriform,shiny
802,ball,plastic,pluriform,shiny
803,basket,wood,uniform,ribbed
804,colored tinned box,metal,pluriform,shiny
805,decorated can,metal,pluriform,shiny
806,balloon,rubber,uniform,
807,DE sticks,"paper, plastic",pluriform,composite
808,tabacco pot,"wood, metal",uniform,"composite, shiny"
809,Water sprayer,plastic,uniform,shiny
810,yellow pot,plastic,uniform,shiny
811,lewy (aibo ERS-7),plastic,pluriform,shiny
812,flower pot,pottery,uniform,
813,FA deoderant,"plastic, metal",pluriform,"shiny, composite"
814,blocked cup,pottery,pluriform,shiny
815,tissue box,paper,pluriform,
816,bottle SPA,"plastic, paper",pluriform,"composite, shiny"
817,lunch box,plastic,pluriform,
818,money box,metal,pluriform,shiny
819,"""vergiet""",plastic,uniform,shiny
820,flower pot,plastic,pluriform,
821,basket,plastic,uniform,shiny
822,jacket,cloth,pluriform,
823,"""gieter""",plastic,pluriform,
824,bag,plastic,pluriform,
825,kruidcake package,paper,pluriform,
826,shoe,"cloth, rubber",pluriform,composite
827,cup,"pottery, plastic",pluriform,"composite, shiny"
828,tea box,"paper, plastic",pluriform,composite
829,bottle Vitel,"plastic, paper",pluriform,"composite, shiny"
830,glass pot,"glass, metal",uniform,"composite, shiny"
831,bar-le-duc bottle,"plastic, paper",pluriform,"composite,"
832,video-tape,"paper, plastic",pluriform,composite
833,christmas tree,"plastic, wood, glass, wire",pluriform,"composite, shiny"
834,aquafresh toothpaste,plastic,pluriform,shiny
835,cat in basket,"paper, plastic",uniform,"composite, shiny"
836,knot of wire,rope,uniform,shiny
837,box with elastics,"plastic, paper",pluriform,"composite, shiny"
838,sugar,paper,pluriform,
839,candle keeper,"plastic, metal",pluriform,"composite, shiny"
840,paladin box,paper,pluriform,
841,wholemaker box,paper,pluriform,
842,pickwick tea box,plastic,pluriform,shiny
843,board wiper,cloth,pluriform,
844,white wire,wire,uniform,
845,plant in pot,"plant, pottery",pluriform,composite
846,orange juice,"paper, plastic",pluriform,composite
847,nutricia cream,"paper, plastic",pluriform,composite
848,round box 1,metal,pluriform,shiny
849,round box 2,metal,pluriform,shiny
850,becel butter,plastic,pluriform,
851,pot,pottery,uniform,
852,sil washgel,"plastic, paper",pluriform,"composite, shiny"
853,nikwax spray,"plastic, paper",pluriform,"compsoite, shiny"
854,omo powder,paper,pluriform,shiny
855,gas pot 1,metal,pluriform,shiny
856,bidon,plastic,pluriform,shiny
857,coffee can,"metal, plastic",pluriform,"shiny, composite"
858,bolletje bisquits,paper,pluriform,shiny
859,gas pot 2,metal,pluriform,shiny
860,German bockworst,"paper, metal",pluriform,"shiny, composite"
861,kellogg's fruit'n fibre,paper,pluriform,
862,shuttle box,"plastic, paper",pluriform,"composite, shiny"
863,DE coffee sirop,"metal, glass, paper",pluriform,"composite, shiny"
864,Biotex,"plastic, paper",plurfiorm,composite
865,Travelkit,"plastic,  rope,  metal, cloth",uniform,"composite, shiny"
866,Cactus,"plant, pottery",pluriform,composite
867,calender,paper,pluriform,
868,nutrilon nora box,paper,pluriform,
869,tefal bag,"cloth, plastic",pluriform,composite
870,pineapple,fruit,pluriform,composite
871,jip&janneke balloon,rubber,pluriform,shiny
872,nijntje lunch box,plastic,pluriform,shiny
873,mango,fruit,pluriform,
874,milka chocolate candies,plastic,pluriform,shiny
875,plastic tea pot,plastic,pluriform,shiny
876,sun washing tablets,paper,pluriform,
877,cauliflower,vegetable,pluriform,
878,paper cat,paper,pluriform,
879,cucumber,fruit,uniform,
880,carrot,vegetable,pluriform,
881,courgette,vegetable,pluriform,
882,orange,fruit,uniform,
883,asperges,"vegetable, paper",pluriform,composite
884,rettig,vegetable,pluriform,composite
885,sweet potato,vegetable,uniform,
886,horse,pottery,pluriform,shiny
887,witlof,vegetable,pluriform,
888,melon,fruit,pluriform,
889,egg plant,vegetable,uniform,composite
890,lego toy,plastic,pluriform,shiny
891,garden scissors,metal,pluriform,
892,wooden chair,wood,pluriform,
893,bookkeeper 1,pottery,pluriform,
894,bookkeeper 2,pottery,pluriform,
895,hairy duster,plastic,pluriform,
896,pink pig,plastic,pluriform,shiny
897,salamander on box,"pottery, wood",pluriform,"shiny, composite"
898,red decorated box,plastic,pluriform,shiny
899,drawer closet,wood,pluriform,
900,wooden bowl,wood,pluriform,
901,wooden penbox,wood,uniform,shiny
902,flower pot,pottery,pluriform,
903,diabolo,"rubber, metal",uniform,"shiny, composite"
904,wooden plate,wood,uniform,
905,book 'kant',paper,pluriform,
906,'ernie &bert shampoo,plastic,pluriform,shiny
907,hero between,plastic,pluriform,shiny
908,Salland ham,metal,pluriform,shiny
909,maggi oven heerlijk,paper,pluriform,
910,ajax spray,"plastic, paper",pluriform,shiny
911,coffee can,plastic,uniform,shiny
912,colored halter,plastic,pluriform,shiny
913,yellow bear,"cloth, plastic",pluriform,composite
914,golden wired box,wire,uniform,shiny
915,orange shower boxes,plastic,pluriform,shiny
916,drums,"metal, cloth, wood",pluriform,"shiny, composite"
917,bee,"cloth, plastic",pluriform,composite
918,death bonsai tree,"pottery, plant",pluriform,"shiny, composite"
919,tool 1,metal,pluriform,
920,hamer,"plastic, metal",pluriform,composite
921,tool 2,"plastic, metal",uniform,"composite, shiny"
922,tool 3,"wood, metal",uniform,composite
923,screwdrivers,"metal, plastic",pluriform,"composite, shiny"
924,egg box,paper,pluriform,
925,football,cloth,pluriform,
926,knife holder,wood,uniform,
927,standing doll,"cloth, plastic, wood",pluriform,composite
928,iron,"metal, plastic, cloth",pluriform,"composite, shiny"
929,green wire,"plastic, wire",uniform,composite
930,decorated article,metal,pluriform,shiny
931,low vase,pottery,pluriform,
932,Lamp parabol,metal,uniform,shiny
933,fancy lady,"cloth, pottery",pluriform,"composite, shiny"
934,wooden object,"wood, metal, wire",uniform,"composite, shiny"
935,feather ring,feathers,plurfirom,
936,cloth of wool,cloth,plurfirom,
937,'rieten' box,wood,pluriform,
938,paper box 1,paper,pluriform,
939,paper box 2,"paper, metal",pluriform,"composite, shiny"
940,paper box 3,paper,pluriform,
941,jacket,cloth,uniform,
942,sitting horse,"cloth, wire",pluriform,"composite, shiny"
943,metal tea box,metal,pluriform,shiny
944,small capsicum,plastic,pluriform,shiny
945,Rice cracks,paper,pluriform,shiny
946,pasta and sugo,paper,pluriform,shiny
947,sherry tomatos,fruit,uniform,composite
948,green capsicum,vegetable,uniform,composite
949,cake,plastic,pluriform,
950,banana's,fruit,uniform,composite
951,maaza mango drink,"metal, glass",pluriform,"composite, shiny"
952,artisjok,vegetable,uniform,
953,yellow capsicum,vegetable,uniform,composite
954,reddish,vegetable,uniform,composite
955,maaza guava drink,"metal, glass",pluriform,"composite, shiny"
956,pickwick spice,plastic,pluriform,shiny
957,bread,food,uniform,
958,crunchy muesli,plastic,pluriform,shiny
959,m&m's,paper,pluriform,shiny
960,tortellini tricolore,paper,pluriform,shiny
961,piccalilly,"glass, metal, paper",pluriform,"composite, shiny"
962,chorizo,"plastic, paper",pluriform,"composite, shiny"
963,rempejek,plastic,pluriform,shiny
964,tagliatelle,plastic,pluriform,shiny
965,coffee cream,"glass, paper, metal",pluriform,"shiny, composite"
966,verkade bisquits,plastic,pluriform,shiny
967,bugles chips,plastic,pluriform,shiny
968,mihoen,plastic,pluriform,shiny
969,fristi drink,"paper, plastic",pluriform,shiny
970,hak vegetable jar,"metal, glass, paper",pluriform,"shiny, composite"
971,round shell,shell,pluriform,
972,3 towels,cloth,pluriform,striped
973,yellow/blue towel,cloth,pluriform,striped
974,blue/red towel,cloth,pluriform,striped
975,yellow/red towel,cloth,pluriform,striped
976,yellow towel,cloth,pluriform,striped
977,blue towel,cloth,pluriform,striped
978,red towel,cloth,pluriform,striped
979,head,wire,pluriform,
980,yellow thing,plastic,pluriform,"shiny, sparkling"
981,big metal pot,metal,uniform,shiny
982,small metal pot,metal,uniform,shiny
983,christmas balls,"plastic, cloth",uniform,"shiny, composite"
984,pot with stones,glass,pluriform,shiny
985,pot with shells,glass,pluriform,shiny
986,grolsch beer,"paper, metal, glass",pluriform,"composite, shiny"
987,small doll,"cloth, plastic",pluriform,composite
988,sheep,cloth,uniform,
989,indy box,paper,pluriform,
990,carton box,paper,pluriform,
991,blue washing box,plastic,uniform,shiny
992,emma eend book,plastic,pluriform,shiny
993,yellow toy box,plastic,uniform,shiny
994,bambix,paper,pluriform,
995,pescado bottle,glass,pluriform,shiny
996,lotion,"plastic, paper",pluriform,"shiny, composite"
997,cleansing milk,"plastic, paper",pluriform,"shiny, composite"
998,vogue deodorant,"metal, plastic",pluriform,"shiny, composite"
999,ALOI recording,"metal, plastic",uniform,"shiny, composite"
1000,strawberry cake,food,pluriform,
